Station,Lat_N,Long_E,Elevation,Start_date,Last_visit,Project,MODIS_h,MODIS_v
KPC_L,79.9108,-24.0828,370,17/07/2008,2016,PROMICE,17,1
KPC_U,79.8347,-25.1662,870,17/07/2008,2016,PROMICE,17,1
EGP,75.6247,-35.9748,2660,01/05/2016,2016,PROMICE,17,1
SCO_L,72.223,-26.8182,460,21/07/2008,2014,PROMICE,17,1
SCO_U,72.3933,-27.2333,970,21/07/2008,2014,PROMICE,17,1
TAS_L,65.6402,-38.8987,250,23/08/2007,2016,PROMICE,16,2
TAS_A,65.779,-38.8995,890,28/08/2013,2016,PROMICE/REFREEZE,16,2
QAS_L,61.0308,-46.8493,280,24/08/2007,2016,PROMICE,15,2
QAS_M,61.0998,-46.833,630,11/08/2016,2016,PROMICE,15,2
QAS_U,61.1753,-46.8195,900,07/08/2008,2016,PROMICE,15,2
NUK_L,64.4822,-49.5358,530,20/08/2007,2015,PROMICE/IMGLACO,15,2
NUK_U,64.5108,-49.2692,1120,20/08/2007,2015,PROMICE/IMGLACO,15,2
KAN_L,67.0955,-49.9513,670,01/09/2008,2016,GAP/PROMICE,16,2
KAN_M,67.067,-48.8355,1270,02/09/2008,2015,GAP/PROMICE,16,2
KAN_U,67.0003,-47.0253,1840,04/04/2009,2016,GAP/PROMICE,16,2
UPE_L,72.8932,-54.2955,220,17/08/2009,2015,PROMICE,16,1
UPE_U,72.8878,-53.5783,940,17/08/2009,2015,PROMICE,16,1
THU_L,76.3998,-68.2665,570,09/08/2010,2016,PROMICE,16,1
THU_U,76.4197,-68.1463,760,09/08/2010,2016,PROMICE,16,1